得意先コード,袋,角底,手提げ袋,保存袋
4258,0,0,0,0
4300,1,0,0,0
4511,0,1,0,0
5006,1,0,0,0
5008,0,0,0,0
5009,1,0,0,0
5010,1,1,0,1
5013,1,0,0,0
5016,1,0,0,0
5017,0,0,0,0
5018,0,0,0,0
5019,1,0,0,0
5020,0,1,0,0
5021,1,0,0,0
5022,0,1,0,0
5023,0,1,0,0
5050,0,0,0,0
5053,0,0,0,0
5054,1,0,0,0
5055,0,0,0,0
5056,1,1,0,0
5059,1,1,0,0
5060,0,0,0,0
5061,0,1,0,0
5062,1,1,1,0
5063,0,0,0,0
5064,0,1,0,0
5065,1,1,0,0
5066,0,0,0,0
5067,0,1,0,0
5068,0,1,0,0
5069,0,0,0,0
5070,0,0,0,0
5071,1,0,0,0
5072,0,0,0,0
5073,1,0,0,0
5074,1,1,0,1
5075,0,0,0,0
5076,0,0,0,0
5077,0,0,0,0
5078,0,0,0,0
5079,0,0,0,0
5080,0,0,0,0
5081,0,0,0,0
5082,0,0,0,0
5083,1,0,0,0
5084,0,0,0,0
5085,0,0,0,0
5086,0,0,0,0
5087,0,0,0,0
5088,0,0,0,0
5089,1,0,0,0
5090,0,0,0,0
5091,1,0,0,0
5093,0,0,0,0
5094,0,1,0,0
5095,0,0,0,0
5102,0,0,0,0
5106,1,1,0,0
5110,0,0,0,0
5115,0,1,0,0
5116,1,1,0,0
5118,0,0,0,0
5119,1,1,0,0
5120,1,0,0,0
5121,0,0,0,0
5122,0,0,0,0
5123,1,0,0,0
5124,1,0,0,0
5125,0,0,0,0
5126,1,1,0,0
5127,1,1,0,0
5128,1,1,0,0
5129,1,1,0,0
5130,0,0,0,0
5131,0,0,0,0
5132,0,0,0,0
5133,0,0,0,0
5134,0,0,0,0
5151,1,0,0,0
5153,1,1,0,0
5154,0,1,0,0
5155,1,1,0,0
5156,1,0,0,0
5157,0,0,0,0
5158,0,0,0,0
5159,0,0,0,0
5160,0,0,0,0
5161,0,0,0,0
5162,0,0,0,0
5163,0,0,0,0
5200,0,0,0,0
5201,1,1,0,0
5202,1,0,0,0
5203,1,0,0,0
5204,0,1,0,0
6000,0,1,0,0
6001,0,0,0,0
6002,0,0,0,0
6003,0,0,0,0
6004,0,0,0,0
6005,1,1,1,0
6006,0,0,0,0
6007,0,0,0,0
6008,0,0,0,0
6009,0,0,0,0
6010,0,0,0,0
6011,0,0,0,0
6012,0,0,0,0
6013,1,1,0,0
6014,0,0,0,0
6015,0,0,0,0
6016,0,0,0,0
